,Ferreira e Melo 2016_NA,Vogel et al 2016_2,Vogel et al 2015_2,Becker et al 2013_5,Santos-Jr. et al 2016_7,Santos-Jr. et al 2016_9,Becker et al 2013_10,Parrota et al 1997_11,Silva et al. 2015_15,Becker et al 2013_20,Santos-Jr. et al 2016_21,Rosa et al 2013_23,Silva et al. 2015_25,Silva et al. 2015_57
Agelaioides badius,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Amazilia lactea,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Ammodramus aurifrons,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Ammodramus humeralis,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Anabacerthia lichtensteini,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Antilophia galeata,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Aramides cajaneus,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Aramides saracura,0,0,1,1,1,1,1,0,0,0,0,0,0,0
Aratinga auricapillus,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Arremon semitorquatus,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Athene cunicularia,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Baryphthengus ruficapillus,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Basileuterus culicivorus,0,0,0,0,0,1,1,0,0,1,1,0,0,0
Brotogeris chiriri,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Cacicus cela,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Cacicus chrysopterus,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Cacicus haemorrhous ,0,0,0,0,0,1,1,0,0,1,1,0,0,0
Campephilus melanoleucos,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Camptostoma obsoletum,0,0,1,1,1,1,1,0,0,1,1,1,0,0
Capsiempis flaveola,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Caracara plancus,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Casiornis rufus,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Celeus flavescens,0,0,0,0,1,1,0,0,0,0,1,0,0,0
Celeus grammicus,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Celeus torquatus,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Chamaeza campanisona,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Chiroxiphia caudata,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Chlorostilbon lucidus,0,1,1,0,1,1,0,0,0,1,1,0,0,0
Cissopis leverianus,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Cnemotriccus fuscatus,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Coccyzus melacoryphus,0,0,1,0,1,0,0,0,0,0,1,0,0,0
Coereba flaveola,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Colaptes campestris,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Colaptes melanochloros,0,1,1,0,1,1,1,0,0,1,1,0,1,0
Colibri serrirostris,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Colonia colonus,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Columbina passerina,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Columbina picui,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Columbina squammata,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Columbina talpacoti,0,1,1,0,1,1,1,0,0,0,0,0,1,0
Conirostrum speciosum,0,1,1,0,1,1,1,0,0,1,1,0,0,1
Conopophaga lineata,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Coryphospingus cucullatus ,0,1,1,1,1,1,1,0,0,1,1,0,0,0
Corythopis delalandi,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Crax alector,0,0,0,0,0,0,0,1,0,0,0,0,0,0
