,,Diet-Inv,Diet-vert,Diet-Fruit,Diet-Nect,Diet-Seed,Diet-PlantO,Diet-5Cat,ForStrat-ground,ForStrat-understory,ForStrat-midhigh,ForStrat-canopy,ForStrat-aerial,,BodyMass-Value,Tamanho
Agelaioides badius,spp1,60,0,0,0,40,0,Seed,50,30,20,0,0,inferior,"45,25",small
Amazilia lactea,spp2,10,0,0,90,0,0,Nect,0,30,30,30,10,todos ,"4,6",small
Ammodramus aurifrons,spp3,30,0,0,0,70,0,Seed,80,20,0,0,0,inferior,"17,8",small
Ammodramus humeralis,spp4,20,0,0,0,80,0,Seed,60,30,10,0,0,inferior,"15,99",small
Anabacerthia lichtensteini,spp5,100,0,0,0,0,0,Invertebrate,0,0,50,50,0,superior,21,small
Antilophia galeata,spp6,40,0,60,0,0,0,FrugInsect,0,50,50,0,0,médio,"21,48",small
Aramides cajaneus,spp7,50,20,10,0,10,10,Omnivore,100,0,0,0,0,inferior,397,large
Aramides saracura,spp8,70,20,10,0,0,0,Omnivore,100,0,0,0,0,inferior,540,large
Aratinga auricapillus,spp9,0,0,50,0,50,0,Fruit,30,50,20,0,0,superior,130,large
Arremon semitorquatus,spp10,30,0,40,0,30,0,Omnivore,80,20,0,0,0,inferior,"28,08",small
Athene cunicularia,spp11,20,80,0,0,0,0,Vertebrate,80,10,10,0,0,inferior,"150,61",large
Baryphthengus ruficapillus,spp12,60,20,20,0,0,0,Omnivore,50,20,30,0,0,inferior,"141,65",large
Basileuterus culicivorus,spp13,80,0,20,0,0,0,Invertebrate,0,70,30,0,0,inferior,"10,5",small
Brotogeris chiriri,spp14,0,0,50,10,20,20,Omnivore,30,30,20,20,0,todos ,"61,6",small
Cacicus cela,spp15,40,0,60,0,0,0,FrugInsect,0,0,20,80,0,superior,"85,45",large
Cacicus chrysopterus,spp16,50,0,50,0,0,0,FrugInsect,0,0,80,20,0,médio,"36,16",small
Cacicus haemorrhous,spp17,60,0,20,20,0,0,Omnivore,0,20,60,20,0,médio,"83,71",large
Campephilus melanoleucos,spp18,80,0,20,0,0,0,Invertebrate,0,0,100,0,0,médio,256,large
Camptostoma obsoletum,spp19,70,0,30,0,0,0,Invertebrate,0,0,80,20,0,médio,"8,1",small
Capsiempis flaveola,spp20,90,0,10,0,0,0,Invertebrate,0,0,100,0,0,médio,"7,7",small
Caracara plancus,spp21,20,80,0,0,0,0,Vertebrate,100,0,0,0,0,inferior,"1078,62",large
Casiornis rufus,spp22,100,0,0,0,0,0,Invertebrate,0,40,30,30,0,todos ,"24,8",small
Celeus flavescens,spp23,70,0,30,0,0,0,Invertebrate,20,30,50,0,0,todos ,139,large
Celeus grammicus,spp24,50,0,50,0,0,0,FrugInsect,0,0,80,20,0,médio,"73,44",small
Celeus torquatus,spp25,50,0,0,0,50,0,Seed,0,20,60,20,0,médio,134,large
Chamaeza campanisoma,spp26,70,0,30,0,0,0,Invertebrate,80,20,0,0,0,inferior,"90,58",large
Chiroxiphia caudata,spp27,50,0,50,0,0,0,FrugInsect,0,50,50,0,0,inferior,"25,6",small
Chlorostibon lucidus,spp28,10,0,0,90,0,0,Nect,0,0,90,10,0,médio,"3,5",small
Cissopis leverianus,spp29,30,0,70,0,0,0,Fruit,20,30,30,20,0,todos ,76,small
Cnemotriccus fuscatus,spp30,100,0,0,0,0,0,Invertebrate,40,40,20,0,0,inferior,"13,6",small
Coccyzus melacoryphus,spp31,100,0,0,0,0,0,Invertebrate,50,30,20,0,0,inferior,"49,71",small
Coereba flaveola,spp32,30,0,0,70,0,0,Nect,0,80,20,0,0,inferior,"10,01",small
Colaptes campestris,spp33,90,10,0,0,0,0,Invertebrate,100,0,0,0,0,inferior,158,large
Colaptes melanochloros,spp34,80,0,10,10,0,0,Invertebrate,0,50,50,0,0,médio,"127,27",large
Colibri serrirostris,spp35,10,0,0,90,0,0,Nect,0,70,30,0,0,inferior,"6,7",small
Colonia colonus,spp36,100,0,0,0,0,0,Invertebrate,0,30,70,0,0,médio,"18,3",small
Columbina passerina,spp37,10,0,40,0,50,0,Omnivore,100,0,0,0,0,inferior,"35,36",small
Columbina picui,spp38,0,0,0,0,100,0,Seed,100,0,0,0,0,inferior,47,small
Columbina squammata,spp39,20,0,0,0,80,0,Seed,100,0,0,0,0,inferior,"52,9",small
Columbina talpacoti,spp40,10,0,0,0,90,0,Seed,100,0,0,0,0,inferior,"46,04",small
Conirostrum speciosum,spp41,70,0,10,0,10,10,Omnivore,60,20,20,0,0,superior,"8,8",small
Conopophaga lineata,spp42,100,0,0,0,0,0,Invertebrate,60,40,0,0,0,inferior,"25,21",small
Corythopis delalandi,spp43,90,10,0,0,0,0,Invertebrate,80,20,0,0,0,inferior,15,small
Crax alector,spp44,0,0,90,0,0,10,Fruit,80,20,0,0,0,inferior,2872,large
Crotophaga ani,spp45,40,40,10,0,10,0,Omnivore,40,30,30,0,0,inferior,"110,09",large
Crypturellus obsoletus,spp46,50,0,0,0,50,0,Seed,100,0,0,0,0,inferior,"443,4",large
Crypturellus parvirostris,spp47,40,0,0,0,60,0,Seed,100,0,0,0,0,inferior,"198,99",large
Crypturellus tataupa,spp48,50,0,0,0,30,20,Omnivore,50,50,0,0,0,inferior,"218,8",large
Crypturellus variegatus,spp49,0,0,100,0,0,0,Fruit,100,0,0,0,0,inferior,378,large
Cyanocorax chrysops,spp50,80,0,20,0,0,0,Invertebrate,10,30,30,30,0,todos ,166,large
Cyanocorax cristatellus,spp51,40,10,40,10,0,0,Omnivore,60,20,20,0,0,inferior,178,large
Cyanoloxia brissonii,spp52,20,0,70,0,10,0,Omnivore,50,50,0,0,0,inferior,"27,5",small
Cyanoloxia glaucocaerulea,spp53,40,0,20,0,30,10,Omnivore,50,50,0,0,0,inferior,"18,2",small
Cyclarhis gujanensis,spp54,100,0,0,0,0,0,Invertebrate,0,40,40,20,0,médio,"28,8",small
Dacnis cayana,spp55,50,0,40,0,0,10,FrugInsect,0,0,30,60,10,superior,13,small
Dendrocolaptes platyrostris,spp56,80,0,0,0,0,20,Invertebrate,50,50,0,0,0,inferior,"61,7",small
Drymophila malura,spp57,100,0,0,0,0,0,Invertebrate,40,40,20,0,0,inferior,13,small
Drymophila rubricollis,spp58,100,0,0,0,0,0,Invertebrate,0,20,80,0,0,médio,10,small
Dryocopus lineatus,spp59,80,0,10,0,10,0,Invertebrate,20,20,60,0,0,médio,"183,19",large
Dysithamnus mentalis,spp60,90,0,10,0,0,0,Invertebrate,0,40,40,20,0,médio,"14,87",small
Elaenia flavogaster,spp61,50,0,50,0,0,0,FrugInsect,0,20,40,30,10,todos ,"24,8",small
Elaenia mesoleuca,spp62,50,0,50,0,0,0,FrugInsect,0,20,40,40,0,todos ,"17,6",small
Elaenia parvirostris,spp63,70,0,30,0,0,0,Invertebrate,0,33,34,33,0,todos ,"13,8",small
Elanus leucurus,spp64,0,100,0,0,0,0,Vertebrate,80,0,0,0,20,inferior,346,large
Eleoscytalopus indigoticus,spp65,100,0,0,0,0,0,Invertebrate,60,40,0,0,0,inferior,"16,15",small
